glyph,token,physical_slot,cost_if_reused,evidence
잘,8101,0,0,resident_allocation_table
들,8102,1,0,resident_allocation_table
리,8103,2,0,resident_allocation_table
나,8104,3,0,resident_allocation_table
그,8105,4,0,resident_allocation_table
곳,8106,5,0,resident_allocation_table
은,8107,6,0,resident_allocation_table
이,8108,7,0,resident_allocation_table
미,8109,8,0,resident_allocation_table
적,810A,9,0,resident_allocation_table
지,810B,10,0,resident_allocation_table
다,810C,11,0,resident_allocation_table
도,810D,12,0,resident_allocation_table
청,810E,13,0,resident_allocation_table
될,810F,14,0,resident_allocation_table
위,8110,15,0,resident_allocation_table
험,8111,16,0,resident_allocation_table
성,8112,17,0,resident_allocation_table
있,8113,18,0,resident_allocation_table
후,8114,19,0,resident_allocation_table
부,8115,20,0,resident_allocation_table
터,8116,21,0,resident_allocation_table
는,8117,22,0,resident_allocation_table
서,8118,23,0,resident_allocation_table
로,8119,24,0,resident_allocation_table
암,811A,25,0,resident_allocation_table
호,811B,26,0,resident_allocation_table
명,811C,27,0,resident_allocation_table
으,811D,28,0,resident_allocation_table
르,811E,29,0,resident_allocation_table
록,811F,30,0,resident_allocation_table
하,8120,31,0,resident_allocation_table
겠,8121,32,0,resident_allocation_table
번,8122,33,0,resident_allocation_table
임,8123,34,0,resident_allocation_table
무,8124,35,0,resident_allocation_table
의,8125,36,0,resident_allocation_table
코,8126,37,0,resident_allocation_table
드,8127,38,0,resident_allocation_table
네,8128,39,0,resident_allocation_table
키,8129,40,0,resident_allocation_table
스,812A,41,0,resident_allocation_table
크,812B,42,0,resident_allocation_table
라,812C,43,0,resident_allocation_table
본,812D,44,0,resident_allocation_table
입,812E,45,0,resident_allocation_table
밖,812F,46,0,resident_allocation_table
에,8130,47,0,resident_allocation_table
내,8131,48,0,resident_allocation_table
않,8132,49,0,resident_allocation_table
버,8133,50,0,resident_allocation_table
츄,8134,51,0,resident_allocation_table
어,8135,52,0,resident_allocation_table
션,8136,53,0,resident_allocation_table
을,8137,54,0,resident_allocation_table
금,8138,55,0,resident_allocation_table
개,8139,56,0,resident_allocation_table
시,813A,57,0,resident_allocation_table
한,813B,58,0,resident_allocation_table
소,813C,59,0,resident_allocation_table
콜,813D,60,0,resident_allocation_table
프,813E,61,0,resident_allocation_table
가,813F,62,0,resident_allocation_table
데,8140,63,0,resident_allocation_table
려,8141,64,0,resident_allocation_table
간,8142,65,0,resident_allocation_table
자,8143,66,0,resident_allocation_table
세,8144,67,0,resident_allocation_table
