media,record,scene,translation_rows,used_hangul,common_glyphs,common_glyph_count,new_glyphs,new_glyph_count,glyph_add_bytes,existing_local_slots,existing_dead_slots,newly_freed_slots,glyph_reclaim_bytes,donor_reclaim_bytes,string_reclaim_bytes,appended_glyph_count,appended_glyph_bytes,string_delta_bytes,string_increase_bytes,text_overflow_bytes,internal_slack_bytes,record_growth_bytes,final_headroom,overflow_bytes,row_ids,confidence,scene_pad_budget,scene_total_growth,scene_final_headroom,scene_overflow_bytes
demo,0,2,6,간기난는다데들려면못무방보서성송시어없오완이일임입잘잠전큰확,간기난는다데들려면못무방보서성시어없이일임입잘,23,송오완잠전큰확,7,448,0,0,0,0,0,147,7,448,-147,0,0,0,448,0,0,demo:2:2669172|demo:2:2669336|demo:2:2669792|demo:2:2670184|demo:2:2670600|demo:2:2670904,confirmed_binary_and_builder_logic,1798,1152,646,0
demo,1,2,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1798,1152,646,0
demo,2,2,3,격경국까나낙넘다대로버보산은적지충틴하,까나다대로버보은적지하,11,격경국낙넘산충틴,8,512,0,0,0,0,0,87,8,512,-87,0,0,0,512,0,0,demo:2:5282592|demo:2:5282968|demo:2:5283268,confirmed_binary_and_builder_logic,1798,1152,646,0
demo,3,2,1,녁다엔온저전,다엔저,3,녁온전,3,192,0,0,0,0,0,9,3,192,-9,0,0,0,192,0,0,demo:2:6088416,confirmed_binary_and_builder_logic,1798,1152,646,0
demo,4,2,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1798,1152,646,0
demo,5,6,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1638,0,1638,0
demo,6,7,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,422,0,422,0
demo,7,9,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1894,0,1894,0
demo,8,10,2,가난너다당데러려로막머신왔요원을의이장철,가난다데러려로머왔요원을의이,14,너당막신장철,6,384,0,0,0,0,0,29,6,384,-29,0,0,0,384,0,0,demo:10:17222276|demo:10:17222632,confirmed_binary_and_builder_logic,534,640,0,106
demo,9,10,1,고찬칭하,고하,2,찬칭,2,128,0,0,0,0,0,3,2,128,-3,0,0,0,128,0,0,demo:10:18715640,confirmed_binary_and_builder_logic,534,640,0,106
demo,10,10,2,군는듣름음이처,군는듣음이,5,름처,2,128,0,0,0,0,0,0,2,128,0,0,0,0,128,0,0,demo:10:19637924|demo:10:19638116,confirmed_binary_and_builder_logic,534,640,0,106
demo,11,11,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1302,0,1302,0
demo,12,11,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1302,0,1302,0
demo,13,11,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1302,0,1302,0
demo,14,12,1,것는다로리소우이콜프,것는다로리소우이콜프,10,,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,0,7,demo:12:22975180,confirmed_binary_and_builder_logic,1669,128,1541,0
demo,15,12,1,기꺼서여이제져,기서여이제,5,꺼져,2,128,0,0,0,0,0,3,2,128,-3,0,0,0,128,0,0,demo:12:31740236,confirmed_binary_and_builder_logic,1669,128,1541,0
demo,16,12,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1669,128,1541,0
demo,17,12,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1669,128,1541,0
demo,18,12,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,1669,128,1541,0
demo,19,13,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,confirmed_binary_and_builder_logic,150,512,0,362
demo,20,13,2,그래봐,그래봐,3,,0,0,0,0,0,0,0,4,0,0,-4,0,0,0,0,0,0,demo:13:50942544|demo:13:50943988,confirmed_binary_and_builder_logic,150,512,0,362
demo,21,13,5,가게그끝돼면성손에완,가게그면성에,6,끝돼손완,4,256,0,0,0,0,0,112,4,256,-112,0,0,0,256,0,0,demo:13:52282852|demo:13:52283084|demo:13:52284100|demo:13:52284456|demo:13:52284744,confirmed_binary_and_builder_logic,150,512,0,362
