stage,procedure,call_order,type,scene_id,demo_table_id,record_id/descriptor,packed_file_descriptor,descriptor_file,resource_id,script_offset,argument_tag,argument_kind,confidence
s000a_0,51,1,demo,,20,0x003BC006,0x053BC006,demo.dat,m010_010_p010,0xF89B,6,u24_immediate,static_table_exact
s000a_0,51,2,demo,,21,0x003CA006,0x053CA006,demo.dat,m010_040_p020,0xF935,6,u24_immediate,static_table_exact
s000a_1,121,1,demo,,22,0x003D0006,0x053D0006,demo.dat,m010_050_p030,0x12BA5,6,u24_immediate,static_table_exact
s001a,476,1,demo,,3,0x00000003,0x05000003,demo.dat,v020_040_p040,0x75FE7,9,small_constant,static_table_exact
s001a,476,2,demo,,3,0x00000003,0x05000003,demo.dat,v020_040_p040,0x76094,9,small_constant,static_table_exact
s001a,476,3,demo,,3,0x00000003,0x05000003,demo.dat,v020_040_p040,0x76141,9,small_constant,static_table_exact
s001a,476,4,demo,,3,0x00000003,0x05000003,demo.dat,v020_040_p040,0x761EE,9,small_constant,static_table_exact
s001a,476,5,demo,,3,0x00000003,0x05000003,demo.dat,v020_040_p040,0x7629B,9,small_constant,static_table_exact
s001a,476,6,demo,,3,0x00000003,0x05000003,demo.dat,v020_040_p040,0x762F1,9,small_constant,static_table_exact
s004a,498,1,demo,,0,0x00000000,0x05000000,demo.dat,v020_010_p010|v020_010_p011,0x7EF3E,9,small_constant,static_table_ambiguous
s004a,498,2,demo,,0,0x00000000,0x05000000,demo.dat,v020_010_p010|v020_010_p011,0x7EFE5,9,small_constant,static_table_ambiguous
s004a,498,3,demo,,0,0x00000000,0x05000000,demo.dat,v020_010_p010|v020_010_p011,0x7F051,9,small_constant,static_table_ambiguous
s004a,498,4,demo,,0,0x00000000,0x05000000,demo.dat,v020_010_p010|v020_010_p011,0x7F106,9,small_constant,static_table_ambiguous
s004a_0,132,1,demo,,0,0x00000000,0x05000000,demo.dat,v020_010_p010|v020_010_p011,0x12DB8,9,small_constant,static_table_ambiguous
s004a_0,132,2,demo,,0,0x00000000,0x05000000,demo.dat,v020_010_p010|v020_010_p011,0x12E5F,9,small_constant,static_table_ambiguous
s004a_0,132,3,demo,,0,0x00000000,0x05000000,demo.dat,v020_010_p010|v020_010_p011,0x12ECB,9,small_constant,static_table_ambiguous
s004a_0,132,4,demo,,0,0x00000000,0x05000000,demo.dat,v020_010_p010|v020_010_p011,0x12F80,9,small_constant,static_table_ambiguous
s004a_0,132,5,demo,,23,0x003BC406,0x053BC406,demo.dat,m020_010_p010,0x13779,6,u24_immediate,static_table_exact
s006a_0,172,1,demo,,24,0x0079C606,0x0579C606,demo.dat,M030_010_P010_POLYDEMO,0x19A2C,6,u24_immediate,static_table_exact
s006a_0,172,2,demo,,25,0x0079D206,0x0579D206,demo.dat,M030_020_P020_POLYDEMO,0x19A8F,6,u24_immediate,static_table_exact
s006a_0,172,3,demo,,26|47,0x0079E606,0x0579E606,demo.dat,M030_040_P030_POLYDEMO|M235_010_P010_POLYDEMO,0x19B62,6,u24_immediate,static_table_ambiguous
s006a_0,172,4,demo,,27,0x0079F206,0x0579F206,demo.dat,M030_050_P040_POLYDEMO,0x19BB4,6,u24_immediate,static_table_exact
s006a_0,172,5,demo,,27,0x0079F206,0x0579F206,demo.dat,M030_050_P040_POLYDEMO,0x19C08,6,u24_immediate,static_table_exact
s006a_0,172,6,demo,,28,0x0079C706,0x0579C706,demo.dat,M050_010_P010_POLYDEMO,0x19C66,6,u24_immediate,static_table_exact
s023a_0,117,1,demo,,30,0x003BE006,0x053BE006,demo.dat,m090_010_p010,0x11C56,6,u24_immediate,static_table_exact
s023a_0,117,2,demo,,31,0x003C4006,0x053C4006,demo.dat,m110_010_p010,0x11C98,6,u24_immediate,static_table_exact
s032b_0,115,1,demo,,32,0x003C4406,0x053C4406,demo.dat,m120_010_p010,0x11D6B,6,u24_immediate,static_table_exact
s032b_0,115,2,demo,,34|35,0x003C4D06,0x053C4D06,demo.dat,m145_010_p010|m148_010_p010,0x11DAD,6,u24_immediate,static_table_ambiguous
s032b_0,115,3,demo,,33,0x003C4C06,0x053C4C06,demo.dat,m140_010_p010,0x11DEF,6,u24_immediate,static_table_exact
s033a,528,1,demo,,34|35,0x003C4D06,0x053C4D06,demo.dat,m145_010_p010|m148_010_p010,0x75F59,6,u24_immediate,static_table_ambiguous
s043a_0,125,1,demo,,36,0x0079D706,0x0579D706,demo.dat,M150_010_P010_POLYDEMO,0x11BCD,6,u24_immediate,static_table_exact
s044a_0,61,1,demo,,39|52,0x003D5406,0x053D5406,demo.dat,M260_020_P030|m160_040_p030,0x10567,6,u24_immediate,static_table_ambiguous
s051a,458,1,demo,,1,0x00000001,0x05000001,demo.dat,v020_030_p020,0x76C82,9,small_constant,static_table_exact
s051a,458,2,demo,,1,0x00000001,0x05000001,demo.dat,v020_030_p020,0x76D91,9,small_constant,static_table_exact
s051a,458,3,demo,,1,0x00000001,0x05000001,demo.dat,v020_030_p020,0x76E86,9,small_constant,static_table_exact
s051a,458,4,demo,,1,0x00000001,0x05000001,demo.dat,v020_030_p020,0x76FC9,9,small_constant,static_table_exact
s051b,493,1,demo,,1,0x00000001,0x05000001,demo.dat,v020_030_p020,0x78CC0,9,small_constant,static_table_exact
s051b,493,2,demo,,1,0x00000001,0x05000001,demo.dat,v020_030_p020,0x78DCF,9,small_constant,static_table_exact
s051b,493,3,demo,,1,0x00000001,0x05000001,demo.dat,v020_030_p020,0x78EC4,9,small_constant,static_table_exact
s051b,493,4,demo,,1,0x00000001,0x05000001,demo.dat,v020_030_p020,0x79007,9,small_constant,static_table_exact
s051b_0,151,1,demo,,1,0x00000001,0x05000001,demo.dat,v020_030_p020,0x11D48,9,small_constant,static_table_exact
s051b_0,151,2,demo,,1,0x00000001,0x05000001,demo.dat,v020_030_p020,0x11E57,9,small_constant,static_table_exact
s051b_0,151,3,demo,,1,0x00000001,0x05000001,demo.dat,v020_030_p020,0x11F4C,9,small_constant,static_table_exact
s051b_0,151,4,demo,,1,0x00000001,0x05000001,demo.dat,v020_030_p020,0x1208F,9,small_constant,static_table_exact
s051b_0,151,5,demo,,1,0x00000001,0x05000001,demo.dat,v020_030_p020,0x12120,9,small_constant,static_table_exact
s051b_0,151,6,demo,,41,0x003C5806,0x053C5806,demo.dat,m170_010_p010,0x13974,6,u24_immediate,static_table_exact
s051b_0,151,7,demo,,42,0x003C6006,0x053C6006,demo.dat,m190_010_p010,0x139CA,6,u24_immediate,static_table_exact
s054a_0,122,1,demo,,37,0x003C5406,0x053C5406,demo.dat,m160_010_p010,0x11B57,6,u24_immediate,static_table_exact
s054a_0,122,2,demo,,38,0x003CF406,0x053CF406,demo.dat,m160_030_p020,0x11BF4,6,u24_immediate,static_table_exact
s054a_0,122,3,demo,,40,0x003DB406,0x053DB406,demo.dat,m160_050_p040,0x11C9A,6,u24_immediate,static_table_exact
s063a,562,1,demo,,1,0x00000001,0x05000001,demo.dat,v020_030_p020,0x80252,9,small_constant,static_table_exact
s063a_0,186,1,demo,,1,0x00000001,0x05000001,demo.dat,v020_030_p020,0x14522,9,small_constant,static_table_exact
s063a_0,186,2,demo,,43|44,0x0079E506,0x0579E506,demo.dat,M210_010_P010_POLYDEMO|M220_010_P010_POLYDEMO,0x14CD0,6,u24_immediate,static_table_ambiguous
s063a_0,186,3,demo,,43|44,0x0079E906,0x0579E906,demo.dat,M210_010_P020_POLYDEMO|M220_010_P020_POLYDEMO,0x14D42,6,u24_immediate,static_table_ambiguous
s063a_0,186,4,demo,,43|44,0x0079E506,0x0579E506,demo.dat,M210_010_P010_POLYDEMO|M220_010_P010_POLYDEMO,0x14E04,6,u24_immediate,static_table_ambiguous
s063a_0,186,5,demo,,45,0x0079F906,0x0579F906,demo.dat,M220_030_P020_POLYDEMO,0x14EBB,6,u24_immediate,static_table_exact
s063a_0,186,6,demo,,46,0x00978606,0x05978606,demo.dat,M230_010_P010_DEMO,0x14F1E,6,u24_immediate,static_table_exact
s063a_0,186,7,demo,,26|47,0x0079E606,0x0579E606,demo.dat,M030_040_P030_POLYDEMO|M235_010_P010_POLYDEMO,0x14F81,6,u24_immediate,static_table_ambiguous
s063b,540,1,demo,,1,0x00000001,0x05000001,demo.dat,v020_030_p020,0x817F4,9,small_constant,static_table_exact
s064a,520,1,demo,,1,0x00000001,0x05000001,demo.dat,v020_030_p020,0x7C318,9,small_constant,static_table_exact
s064a,520,2,demo,,1,0x00000001,0x05000001,demo.dat,v020_030_p020,0x7C42A,9,small_constant,static_table_exact
