src,dst,kind,status,error
partition0.cxi,originals/partition0.cxi,FILE,OK,
partition0,originals/3ds_pristine,"DIR pristine unpacked 3DS partition (romfs+exefs+headers, kept intact)",OK,
ncsdheader.bin,originals/ncsdheader.bin,FILE,OK,
analysis/ps2_korean/MGS,originals/ps2,DIR PS2 Korean ISO extract (CODEC/DEMO/MOVIE/SLOT/STAGE.DAT),OK,
analysis/ps2_korean/stages,originals/ps2_stages,DIR PS2 stage extract,OK,
analysis/3ds_code_en_decompressed.bin,originals/code/3ds_code_en_decompressed.bin,FILE,OK,
analysis/3ds_code_jp_decompressed.bin,originals/code/3ds_code_jp_decompressed.bin,FILE,OK,
analysis/code_decompressed.bin,originals/code/code_decompressed.bin,FILE,OK,
analysis/code_decompressed2.bin,originals/code/code_decompressed2.bin,FILE,OK,
Citra,vendor/Citra,DIR,OK,
plugins,vendor/plugins,DIR,OK,
scripting,vendor/scripting,DIR,OK,
citra-qt.exe,vendor/citra-qt.exe,FILE,OK,
citra.exe,vendor/citra.exe,FILE,OK,
citra-room.exe,vendor/citra-room.exe,FILE,OK,
Qt6Concurrent.dll,vendor/Qt6Concurrent.dll,FILE,OK,
Qt6Core.dll,vendor/Qt6Core.dll,FILE,OK,
Qt6Gui.dll,vendor/Qt6Gui.dll,FILE,OK,
Qt6Multimedia.dll,vendor/Qt6Multimedia.dll,FILE,OK,
Qt6Network.dll,vendor/Qt6Network.dll,FILE,OK,
Qt6Svg.dll,vendor/Qt6Svg.dll,FILE,OK,
Qt6Widgets.dll,vendor/Qt6Widgets.dll,FILE,OK,
qt.conf,vendor/qt.conf,FILE,OK,
license.txt,vendor/license.txt,FILE,OK,
dist,builds/archive/dist,DIR generated patch/mod distributions,OK,
output,builds/current/output,DIR staged POC output,OK,
analysis/_archive_2026-08-07,archive/old-data/analysis_archive_2026-08-07,DIR,OK,
analysis/ps2_korean/_archive_2026-08-07,archive/old-data/ps2_korean_archive_2026-08-07,DIR,OK,
analysis/rejected,archive/old-data/rejected,DIR analysis/README: never use for builds,OK,
analysis/archive,archive/old-data/analysis_archive_misc,DIR,OK,
analysis/1 korean_localization_bundle_2026-08-12/translation_sources/natural_full_pre_compaction,translation/10_master/bundle_natural_full,DIR,OK,
analysis/1 korean_localization_bundle_2026-08-12/translation_sources/applied_compact,translation/30_shortened/bundle_applied_compact,DIR,OK,
analysis/1 korean_localization_bundle_2026-08-12/translation_sources/shinsnote_reference,translation/00_source/shinsnote/bundle_reference,DIR,OK,
analysis/1 korean_localization_bundle_2026-08-12/translation_sources/codec_3ds_original,translation/00_source/codec_3ds_english,DIR,OK,
analysis/1 korean_localization_bundle_2026-08-12/translation_sources/3ds_only_dialogue,translation/10_master/3ds_only,DIR,OK,
analysis/1 korean_localization_bundle_2026-08-12/game_dat,translation/40_build_input/bundle_game_dat,DIR,OK,
analysis/1 korean_localization_bundle_2026-08-12/glyph_analysis,glyph/validation/bundle_2026-08-12,DIR,OK,
