term,occurrences,unique_rows,category,existing_reference
not,26311,272,FLORA_FAUNA,
the,21041,242,OTHER,
eaten,19052,213,FLORA_FAUNA,
yet,18690,207,FLORA_FAUNA,
taste,14062,157,FLORA_FAUNA,
unknown,12638,141,FLORA_FAUNA,
and,8502,87,FLORA_FAUNA,
was,8242,91,FLORA_FAUNA,
captured,7928,89,FLORA_FAUNA,
alive,7836,88,FLORA_FAUNA,
tasty,7832,88,FLORA_FAUNA,
snake,7231,77,FLORA_FAUNA,
said,7120,80,FLORA_FAUNA,
tried,6853,77,FLORA_FAUNA,
bad,5785,65,FLORA_FAUNA,
that,5425,62,ITEM_WEAPON,
groznyj,4624,40,AREA_NAME,
grad,4624,40,AREA_NAME,
effective,4539,50,OTHER,
tasted,4539,51,FLORA_FAUNA,
with,4256,59,FLORA_FAUNA,
mushroom,4187,37,FLORA_FAUNA,
large,4005,45,FLORA_FAUNA,
frog,3928,37,FLORA_FAUNA,
for,3672,44,TUTORIAL_CONTROL,
paint,3451,42,ITEM_WEAPON,
cobra,3394,41,FLORA_FAUNA,
card,3311,35,OTHER,
memory,3287,28,OTHER,
found,3267,35,FLORA_FAUNA,
face,3212,43,ITEM_WEAPON,
ps2,3198,28,OTHER,
data,3159,41,OTHER,
but,3115,35,FLORA_FAUNA,
spt,3040,20,OTHER,
tree,3034,32,FLORA_FAUNA,
food,2673,28,FOOD,
stamina,2673,30,FOOD,
very,2581,29,FLORA_FAUNA,
their,2518,22,OTHER,
russian,2500,33,FLORA_FAUNA,
terrible,2492,28,FLORA_FAUNA,
edible,2492,28,FLORA_FAUNA,
button,2475,129,TUTORIAL_CONTROL,
used,2464,28,OTHER,
more,2433,16,OTHER,
who,2432,28,OTHER,
hint,2430,27,OTHER,
awarded,2430,27,OTHER,
those,2430,27,OTHER,
set,2417,25,OTHER,
camo,2335,46,ITEM_WEAPON,
native,2314,26,FLORA_FAUNA,
less,2250,13,OTHER,
bird,2247,21,FLORA_FAUNA,
from,2234,29,OTHER,
only,2227,26,FLORA_FAUNA,
uniform,2136,21,ITEM_WEAPON,
its,2136,20,FLORA_FAUNA,
hornet,2136,14,FLORA_FAUNA,
mission,2082,25,OTHER,
pattern,2054,30,ITEM_WEAPON,
pretty,2047,23,FLORA_FAUNA,
this,1980,25,FLORA_FAUNA,
python,1966,25,FLORA_FAUNA,
nest,1964,18,FLORA_FAUNA,
mimics,1958,22,ITEM_WEAPON,
fish,1954,15,FLORA_FAUNA,
back,1899,11,TUTORIAL_CONTROL,
move,1890,9,TUTORIAL_CONTROL,
complete,1802,21,OTHER,
green,1786,20,FLORA_FAUNA,
baltic,1780,15,FLORA_FAUNA,
crab,1732,15,FLORA_FAUNA,
press,1719,26,TUTORIAL_CONTROL,
when,1704,18,FLORA_FAUNA,
recovery,1693,20,FOOD,
wound,1691,10,INJURY,
srpt,1672,11,OTHER,
time,1630,13,OTHER,
flag,1603,19,ITEM_WEAPON,
poisoning,1602,18,FLORA_FAUNA,
good,1602,18,FLORA_FAUNA,
fairly,1602,18,FLORA_FAUNA,
people,1532,17,OTHER,
having,1530,17,OTHER,
white,1517,18,FLORA_FAUNA,
will,1515,17,MEDICINE,
environments,1513,14,OTHER,
half,1513,17,FLORA_FAUNA,
bolshaya,1496,7,AREA_NAME,
past,1496,7,AREA_NAME,
game,1494,14,OTHER,
alert,1441,16,OTHER,
killed,1441,16,OTHER,
squirrel,1428,13,FLORA_FAUNA,
type,1428,17,FLORA_FAUNA,
brown,1426,17,FLORA_FAUNA,
tselinoyarsk,1425,17,FLORA_FAUNA,
gunshot,1424,9,TUTORIAL_CONTROL,
unbelievably,1424,16,FLORA_FAUNA,
ois,1368,9,OTHER,
modes,1350,15,OTHER,
